time_days,mse_c,mse_h,old_c,old_h
3.000000000000000000e+01,7.250094495248049498e-05,2.542447327869012952e-05,5.503659136593341827e-03,1.200051829218864441e-01
4.000000000000000000e+01,2.252187005069572479e-05,1.647777753532864153e-05,1.996952109038829803e-03,5.703297257423400879e-02
5.000000000000000000e+01,7.069385901559144258e-06,3.256142463214928284e-06,1.066459226422011852e-03,1.543480623513460159e-02
6.000000000000000000e+01,5.211176357988733798e-06,1.300972940043720882e-06,6.987644592300057411e-04,5.357279442250728607e-03
7.000000000000000000e+01,4.500141130847623572e-06,1.906929355754982680e-06,5.091910134069621563e-04,2.306725131347775459e-03
8.000000000000000000e+01,3.873152763844700530e-06,2.630027665873058140e-06,3.956158470828086138e-04,1.174992648884654045e-03
9.000000000000000000e+01,3.305839982203906402e-06,2.851709268725244328e-06,3.211914154235273600e-04,6.760042742826044559e-04
1.000000000000000000e+02,2.841736204572953284e-06,2.594304987724171951e-06,2.694336581043899059e-04,4.241685674060136080e-04
1.100000000000000000e+02,2.497324658179422840e-06,2.086764425257570110e-06,2.318902697879821062e-04,2.835643535945564508e-04
1.200000000000000000e+02,2.264078602820518427e-06,1.514267523816670291e-06,2.038039528997614980e-04,1.989011070691049099e-04
1.300000000000000000e+02,2.116603582180687226e-06,1.008244112199463416e-06,1.823222555685788393e-04,1.447771646780893207e-04
1.400000000000000000e+02,2.026425590884173289e-06,6.582454830095230136e-07,1.656234235269948840e-04,1.085459371097385883e-04
1.500000000000000000e+02,1.966645641005015932e-06,5.017293460696237162e-07,1.524794934084638953e-04,8.349311247002333403e-05
1.600000000000000000e+02,1.922647015817346983e-06,5.241165581537643448e-07,1.420328044332563877e-04,6.579399632755666971e-05
1.700000000000000000e+02,1.883530558188795112e-06,6.821943543400266208e-07,1.336736313533037901e-04,5.303387661115266383e-05
1.800000000000000000e+02,1.842056690293247811e-06,9.261959235118411016e-07,1.269784406758844852e-04,4.357336729299277067e-05
1.900000000000000000e+02,1.789988573364098556e-06,1.197104438688256778e-06,1.216188175021670759e-04,3.644480239017866552e-05
2.000000000000000000e+02,1.726597247397876345e-06,1.437492869627021719e-06,1.173302734969183803e-04,3.103189737885259092e-05
2.100000000000000000e+02,1.653662025091762189e-06,1.593915840203408152e-06,1.138878360507078469e-04,2.694719660212285817e-05
2.200000000000000000e+02,1.574823613736953121e-06,1.632466251066944096e-06,1.110886223614215851e-04,2.386390951869543642e-05
2.300000000000000000e+02,1.492187266194378026e-06,1.540493144602805842e-06,1.087847049348056316e-04,2.153297464246861637e-05
2.400000000000000000e+02,1.407658032803738024e-06,1.352669983134546783e-06,1.068759011104702950e-04,1.973671896848827600e-05
2.500000000000000000e+02,1.328611347162222955e-06,1.093242076422029641e-06,1.052875450113788247e-04,1.837245144997723401e-05
2.600000000000000000e+02,1.263216631741670426e-06,8.101754929157323204e-07,1.039316121023148298e-04,1.735855403239838779e-05
2.700000000000000000e+02,1.222429091285448521e-06,5.599848691417719238e-07,1.027239777613431215e-04,1.664084447838831693e-05
2.800000000000000000e+02,1.219398313878627960e-06,4.095381882507354021e-07,1.015979287330992520e-04,1.615235487406607717e-05
2.900000000000000000e+02,1.265137484551814850e-06,4.175594767730217427e-07,1.005143130896613002e-04,1.582800541655160487e-05
3.000000000000000000e+02,1.368983930660760961e-06,6.266992613745969720e-07,9.944170597009360790e-05,1.563152363814879209e-05
3.100000000000000000e+02,1.538203832751605660e-06,1.045207682182081044e-06,9.837531251832842827e-05,1.551821878820192069e-05
3.200000000000000000e+02,1.772083010109781753e-06,1.664695219005807303e-06,9.730774036142975092e-05,1.547591455164365470e-05
3.300000000000000000e+02,2.063050715150893666e-06,2.443600806145695969e-06,9.622036304790526628e-05,1.549957960378378630e-05
3.400000000000000000e+02,2.394055172771913931e-06,3.341659294164855964e-06,9.509210212854668498e-05,1.557937866891734302e-05
3.500000000000000000e+02,2.745044866969692521e-06,4.278339474694803357e-06,9.391762432642281055e-05,1.569611413287930191e-05
3.600000000000000000e+02,3.092295173701131716e-06,5.178703759156633168e-06,9.270165173802524805e-05,1.583097400725819170e-05
3.700000000000000000e+02,3.411862962821032852e-06,5.970100573904346675e-06,9.144798968918621540e-05,1.598108246980700642e-05
3.800000000000000000e+02,3.685608589876210317e-06,6.594284968741703779e-06,9.016376861836761236e-05,1.614218126633204520e-05
3.900000000000000000e+02,3.894955625582952052e-06,6.990975180087843910e-06,8.885539864422753453e-05,1.631010309210978448e-05
4.000000000000000000e+02,4.029194315080530941e-06,7.136181011446751654e-06,8.753135625738650560e-05,1.647453609621152282e-05
4.100000000000000000e+02,4.082030045537976548e-06,7.009980436123441905e-06,8.620227163191884756e-05,1.662346403463743627e-05
4.200000000000000000e+02,4.055321824125712737e-06,6.633242264797445387e-06,8.487381273880600929e-05,1.676255851634778082e-05
4.300000000000000000e+02,3.956064574595075101e-06,6.073497388570103794e-06,8.354765304829925299e-05,1.690023600531276315e-05
4.400000000000000000e+02,3.794907115661771968e-06,5.367078756535192952e-06,8.222404721891507506e-05,1.703221460047643632e-05
4.500000000000000000e+02,3.584795194910839200e-06,4.585872829920845106e-06,8.090618939604610205e-05,1.716227052384056151e-05
4.600000000000000000e+02,3.339160684845410287e-06,3.769834165723295882e-06,7.959973299875855446e-05,1.727418748487252742e-05
4.700000000000000000e+02,3.071609853577683680e-06,2.992552026626071893e-06,7.830949471099302173e-05,1.737865932227578014e-05
4.800000000000000000e+02,2.794259216898353770e-06,2.273123300255974755e-06,7.704156450927257538e-05,1.746738780639134347e-05
4.900000000000000000e+02,2.519347845009178855e-06,1.661478563619311899e-06,7.580014062114059925e-05,1.754339791659731418e-05
5.000000000000000000e+02,2.256675543321762234e-06,1.171005351352505386e-06,7.458987238351255655e-05,1.761883322615176439e-05
5.100000000000000000e+02,2.013330458794371225e-06,7.988392098923213780e-07,7.341396121773868799e-05,1.767007233866024762e-05
5.200000000000000000e+02,1.794468175830843393e-06,5.463900265567644965e-07,7.227669993881136179e-05,1.771352435753215104e-05
5.300000000000000000e+02,1.602804786671185866e-06,3.945061735066701658e-07,7.118184294085949659e-05,1.773740950739011168e-05
5.400000000000000000e+02,1.438958747712604236e-06,3.236502834624843672e-07,7.013361027929931879e-05,1.775643431756179780e-05
5.500000000000000000e+02,1.301468842029862572e-06,3.110902753178379498e-07,6.913585093570873141e-05,1.775703276507556438e-05
5.600000000000000000e+02,1.187932980428740848e-06,3.350664030676853145e-07,6.819474219810217619e-05,1.774516204022802413e-05
5.700000000000000000e+02,1.095199081646569539e-06,3.737225995337212225e-07,6.731555913574993610e-05,1.771995084709487855e-05
5.800000000000000000e+02,1.020071863422344904e-06,4.116432990031171357e-07,6.650423893006518483e-05,1.768814763636328280e-05
5.900000000000000000e+02,9.591337857273174450e-07,4.342625743447570130e-07,6.576451414730399847e-05,1.764057742548175156e-05
6.000000000000000000e+02,9.098894224734976888e-07,4.354859868271887535e-07,6.510214006993919611e-05,1.759234510245732963e-05
6.100000000000000000e+02,8.705702043698693160e-07,4.164266442785446998e-07,6.452365778386592865e-05,1.753019751049578190e-05
6.200000000000000000e+02,8.410274290326924529e-07,3.780727695357199991e-07,6.403768929885700345e-05,1.746657653711736202e-05
6.300000000000000000e+02,8.227303851526812650e-07,3.317936148050648626e-07,6.365279841702431440e-05,1.739103026920929551e-05
6.400000000000000000e+02,8.183218938029312994e-07,2.880171336983039510e-07,6.337771628750488162e-05,1.730326039250940084e-05
6.500000000000000000e+02,8.318777986460190732e-07,2.567029184774582973e-07,6.322168337646871805e-05,1.721081753203179687e-05
6.600000000000000000e+02,8.688645039001130499e-07,2.511394825432944344e-07,6.319732347037643194e-05,1.710689321043901145e-05
6.700000000000000000e+02,9.351568905913154595e-07,2.797671925236500101e-07,6.331676559057086706e-05,1.699890526651870459e-05
