time_days,mse_c,mse_h,old_c,old_h
3.000000000000000000e+01,2.562364796176552773e-03,2.203490957617759705e-02,5.503659602254629135e-03,1.200051829218864441e-01
4.000000000000000000e+01,8.230660459958016872e-04,1.282761571928858757e-03,1.996952109038829803e-03,5.703297257423400879e-02
5.000000000000000000e+01,4.525105177890509367e-04,9.710991289466619492e-04,1.066459226422011852e-03,1.543480716645717621e-02
6.000000000000000000e+01,3.076396824326366186e-04,6.770320469513535500e-04,6.987644010223448277e-04,5.357279907912015915e-03
7.000000000000000000e+01,2.308336115675047040e-04,4.515201435424387455e-04,5.091909551993012428e-04,2.306725131347775459e-03
8.000000000000000000e+01,1.810844696592539549e-04,2.957876131404191256e-04,3.956158179789781570e-04,1.174992648884654045e-03
9.000000000000000000e+01,1.452506839996203780e-04,1.940252550411969423e-04,3.211914154235273600e-04,6.760042742826044559e-04
1.000000000000000000e+02,1.179359169327653944e-04,1.300247968174517155e-04,2.694336581043899059e-04,4.241685965098440647e-04
1.100000000000000000e+02,9.648997365729883313e-05,9.147998935077339411e-05,2.318902697879821062e-04,2.835643826983869076e-04
1.200000000000000000e+02,7.941191142890602350e-05,6.985725485719740391e-05,2.038039383478462696e-04,1.989011070691049099e-04
1.300000000000000000e+02,6.566492811543866992e-05,5.937774767517112195e-05,1.823222555685788393e-04,1.447771646780893207e-04
1.400000000000000000e+02,5.451949618873186409e-05,5.607594357570633292e-05,1.656234089750796556e-04,1.085459516616538167e-04
1.500000000000000000e+02,4.550566518446430564e-05,5.728548421757295728e-05,1.524795079603791237e-04,8.349311974598094821e-05
1.600000000000000000e+02,3.825938620138913393e-05,6.122910417616367340e-05,1.420327898813411593e-04,6.579400360351428390e-05
1.700000000000000000e+02,3.245941115892492235e-05,6.670926813967525959e-05,1.336736459052190185e-04,5.303388024913147092e-05
1.800000000000000000e+02,2.789284917525947094e-05,7.284122693818062544e-05,1.269784552277997136e-04,4.357336365501396358e-05
1.900000000000000000e+02,2.436215800116769969e-05,7.905926759121939540e-05,1.216188247781246901e-04,3.644479875219985843e-05
2.000000000000000000e+02,2.167894490412436426e-05,8.499508840031921864e-05,1.173302807728759944e-04,3.103189374087378383e-05
2.100000000000000000e+02,1.973682628886308521e-05,9.047916682902723551e-05,1.138878360507078469e-04,2.694720024010166526e-05
2.200000000000000000e+02,1.840642289607785642e-05,9.539679012959823012e-05,1.110886078095063567e-04,2.386391133768483996e-05
2.300000000000000000e+02,1.758622966008260846e-05,9.968296217266470194e-05,1.087846903828904033e-04,2.153297646145801991e-05
2.400000000000000000e+02,1.717196028039325029e-05,1.032368454616516829e-04,1.068759011104702950e-04,1.973672078747767955e-05
2.500000000000000000e+02,1.708537638478446752e-05,1.061321672750636935e-04,1.052875450113788247e-04,1.837245144997723401e-05
2.600000000000000000e+02,1.724982212181203067e-05,1.084526738850399852e-04,1.039316193782724440e-04,1.735855039441958070e-05
2.700000000000000000e+02,1.760559825925156474e-05,1.102805908885784447e-04,1.027239777613431215e-04,1.664084265939891338e-05
2.800000000000000000e+02,1.808350862120278180e-05,1.116885468945838511e-04,1.015979287330992520e-04,1.615235669305548072e-05
2.900000000000000000e+02,1.863923898781649768e-05,1.127415453083813190e-04,1.005143130896613002e-04,1.582800723554100841e-05
3.000000000000000000e+02,1.924153184518218040e-05,1.134738922701217234e-04,9.944169141817837954e-05,1.563152727612759918e-05
3.100000000000000000e+02,1.985772178159095347e-05,1.138840889325365424e-04,9.837531251832842827e-05,1.551822060719132423e-05
3.200000000000000000e+02,2.046348163275979459e-05,1.140684471465647221e-04,9.730774036142975092e-05,1.547591455164365470e-05
3.300000000000000000e+02,2.103704537148587406e-05,1.141201209975406528e-04,9.622036304790526628e-05,1.549957960378378630e-05
3.400000000000000000e+02,2.156431582989171147e-05,1.141005632234737277e-04,9.509210940450429916e-05,1.557937684992793947e-05
3.500000000000000000e+02,2.204034717578906566e-05,1.140254971687681973e-04,9.391762432642281055e-05,1.569611595186870545e-05
