time_days,mse_c,mse_h,old_c,old_h
3.000000000000000000e+01,1.697790808975696564e-03,3.651154111139476299e-04,5.503659602254629135e-03,1.200051829218864441e-01
4.000000000000000000e+01,9.579662582837045193e-05,1.829961693147197366e-04,1.996952109038829803e-03,5.703297257423400879e-02
5.000000000000000000e+01,5.856088682776317000e-05,1.095506304409354925e-04,1.066459226422011852e-03,1.543480716645717621e-02
6.000000000000000000e+01,4.072242154506966472e-05,2.053905191132798791e-04,6.987644010223448277e-04,5.357279907912015915e-03
7.000000000000000000e+01,2.848048279702197760e-05,1.690943900030106306e-04,5.091909551993012428e-04,2.306725131347775459e-03
8.000000000000000000e+01,2.042051164607983083e-05,1.078435307135805488e-04,3.956158179789781570e-04,1.174992648884654045e-03
9.000000000000000000e+01,1.523308765172259882e-05,5.988414341118186712e-05,3.211914154235273600e-04,6.760042742826044559e-04
1.000000000000000000e+02,1.195635559270158410e-05,2.953104194602929056e-05,2.694336581043899059e-04,4.241685965098440647e-04
1.100000000000000000e+02,9.941693861037492752e-06,1.294248522754060104e-05,2.318902697879821062e-04,2.835643826983869076e-04
1.200000000000000000e+02,8.774750313023105264e-06,5.682785740646068007e-06,2.038039383478462696e-04,1.989011070691049099e-04
1.300000000000000000e+02,8.164944119926076382e-06,4.239123427396407351e-06,1.823222555685788393e-04,1.447771646780893207e-04
1.400000000000000000e+02,7.915557944215834141e-06,6.090245733503252268e-06,1.656234089750796556e-04,1.085459516616538167e-04
1.500000000000000000e+02,7.888609616202302277e-06,9.568842870066873729e-06,1.524795079603791237e-04,8.349311974598094821e-05
1.600000000000000000e+02,8.000501111382618546e-06,1.361063914373517036e-05,1.420327898813411593e-04,6.579400360351428390e-05
1.700000000000000000e+02,8.204680852941237390e-06,1.755109769874252379e-05,1.336736459052190185e-04,5.303388024913147092e-05
1.800000000000000000e+02,8.448228982160799205e-06,2.095900890708435327e-05,1.269784552277997136e-04,4.357336365501396358e-05
1.900000000000000000e+02,8.687871741130948067e-06,2.360619691899046302e-05,1.216188247781246901e-04,3.644479875219985843e-05
2.000000000000000000e+02,8.918397725210525095e-06,2.544681410654447973e-05,1.173302807728759944e-04,3.103189374087378383e-05
2.100000000000000000e+02,9.111498911806847900e-06,2.648307781782932580e-05,1.138878360507078469e-04,2.694720024010166526e-05
2.200000000000000000e+02,9.268045687349513173e-06,2.679708086361642927e-05,1.110886078095063567e-04,2.386391133768483996e-05
2.300000000000000000e+02,9.368255632580257952e-06,2.648236477398313582e-05,1.087846903828904033e-04,2.153297646145801991e-05
2.400000000000000000e+02,9.430591489945072681e-06,2.559074528107885271e-05,1.068759011104702950e-04,1.973672078747767955e-05
2.500000000000000000e+02,9.456418410991318524e-06,2.426245919195935130e-05,1.052875450113788247e-04,1.837245144997723401e-05
2.600000000000000000e+02,9.458015483687631786e-06,2.264616341562941670e-05,1.039316193782724440e-04,1.735855039441958070e-05
2.700000000000000000e+02,9.443987437407486141e-06,2.083660001517273486e-05,1.027239777613431215e-04,1.664084265939891338e-05
2.800000000000000000e+02,9.417579349246807396e-06,1.893873195513151586e-05,1.015979287330992520e-04,1.615235669305548072e-05
2.900000000000000000e+02,9.388071703142486513e-06,1.701596920611336827e-05,1.005143130896613002e-04,1.582800723554100841e-05
3.000000000000000000e+02,9.355543625133577734e-06,1.513884853920899332e-05,9.944169141817837954e-05,1.563152727612759918e-05
3.100000000000000000e+02,9.341748409497085959e-06,1.332683677901513875e-05,9.837531251832842827e-05,1.551822060719132423e-05
3.200000000000000000e+02,9.349640095024369657e-06,1.164006152976071462e-05,9.730774036142975092e-05,1.547591455164365470e-05
3.300000000000000000e+02,9.366356607642956078e-06,1.011327094602165744e-05,9.622036304790526628e-05,1.549957960378378630e-05
3.400000000000000000e+02,9.387138561578467488e-06,8.764402082306332886e-06,9.509210940450429916e-05,1.557937684992793947e-05
3.500000000000000000e+02,9.398155270901042968e-06,7.592593192384811118e-06,9.391762432642281055e-05,1.569611595186870545e-05
3.600000000000000000e+02,9.398165275342762470e-06,6.598246727662626654e-06,9.270165173802524805e-05,1.583097582624759525e-05
3.700000000000000000e+02,9.374958608532324433e-06,5.775214958703145385e-06,9.144798968918621540e-05,1.598108065081760287e-05
3.800000000000000000e+02,9.328291525889653713e-06,5.111853170092217624e-06,9.016376861836761236e-05,1.614218126633204520e-05
3.900000000000000000e+02,9.248217793356161565e-06,4.587699550029356033e-06,8.885539864422753453e-05,1.631010127312038094e-05
4.000000000000000000e+02,9.136436347034759820e-06,4.187234026176156476e-06,8.753135625738650560e-05,1.647453609621152282e-05
4.100000000000000000e+02,8.980337952380068600e-06,3.884592842950951308e-06,8.620228618383407593e-05,1.662346403463743627e-05
4.200000000000000000e+02,8.788599188847001642e-06,3.671643753477837890e-06,8.487381273880600929e-05,1.676255851634778082e-05
4.300000000000000000e+02,8.564571544411592185e-06,3.531396259859320708e-06,8.354765304829925299e-05,1.690023600531276315e-05
4.400000000000000000e+02,8.317995707329828292e-06,3.443875584707711823e-06,8.222405449487268925e-05,1.703221641946583986e-05
4.500000000000000000e+02,8.054872523644007742e-06,3.398902208573417738e-06,8.090618939604610205e-05,1.716227052384056151e-05
4.600000000000000000e+02,7.780012310831807554e-06,3.373227855263394304e-06,7.959973299875855446e-05,1.727418930386193097e-05
4.700000000000000000e+02,7.505912435590289533e-06,3.360845312272431329e-06,7.830948743503540754e-05,1.737865932227578014e-05
